transaction_id,order_date,customer_id,customer_email,credit_card,territory,product_category,sales_channel,payment_method,quantity,unit_price,gross_amount,legacy_status,source_system
LEG-000028,28/04/2022,48684,customer48684@legacy.local,5851604817549651,,books,store,wire,6,622.34,$3734.06,manual_review,crm
LEG-000029,10/04/2022,49893,customer49893@retail.org,,UK,groceries,store,card,2,2489.83,€4979.66,ok,erp
LEG-000030,07/09/2022,12799,customer12799@example.com,4933529042284210,FR,home,store,card,6,42.94,GBP 257.64,ok,batch_import
LEG-000031,,87812,customer87812@mail.net,4076617711592124,IT,sports,partner,paypal,9,61.08,EUR 549.72,pending,batch_import
LEG-000032,2023-02-30,54424,customer54424@mail.net,5271111615280988,ES,groceries,partner,card,7,591.14,4137.96 USD,pending,erp
LEG-000033,12/01/2023,24184,customer24184@retail.org,4940244550229612,ES,books,mobile,cash,9,194.87,$1753.82,ok,crm
LEG-000034,30-03-2023 21:00,16522,customer16522@retail.org,4561497840369003,PT,sports,store,paypal,5,674.29,$3371.47,pending,pos
LEG-000035,21-03-2022 10:00,15544,customer15544@retail.org,5052975161369681,FR,home,store,wire,8,272.99,£2183.92,unknown,erp
LEG-000036,03-11-2023 02:00,35856,customer35856@retail.org,,DE,electronics,store,paypal,3,290.54,871.63 EUR,manual_review,batch_import
LEG-000037,30-10-2023 06:00,15376,customer15376@legacy.local,5151820377889255,DE,sports,web,paypal,10,225.14,£2251.42,pending,pos
LEG-000038,2023-12-17,55851,customer55851@mail.net,5281685054235733,PT,electronics,web,paypal,11,141.33,GBP 1554.61,pending,erp
LEG-000039,31-03-2023 19:00,57749,customer57749@legacy.local,5735977468862392,ES,sports,web,card,4,845.86,3383.43 USD,pending,batch_import
LEG-000040,2023/03/01 01:00:00,69130,customer69130@legacy.local,,,home,mobile,cash,1,4423.73,USD 4423.73,manual_review,batch_import
LEG-000041,10/10/2023,75513,customer75513@mail.net,5396218518888806,ES,sports,store,card,1,2985.71,2985.71 EUR,ok,pos
LEG-000042,03-12-2023 14:00,54374,customer54374@legacy.local,4704303054868740,PT,electronics,store,paypal,3,1356.16,$4068.48,unknown,erp
LEG-000043,11/03/2023,78062,customer78062@mail.net,4544796275705964,ES,groceries,partner,paypal,2,668.63,EUR 1337.27,manual_review,crm
LEG-000044,04-08-2023 01:00,94562,customer94562@mail.net,,FR,home,store,cash,7,262.12,1834.81 EUR,manual_review,crm
LEG-000045,2022/03/08 17:00:00,51889,customer51889@legacy.local,4583132370589578,ES,fashion,partner,cash,12,278.41,€3340.86,ok,batch_import
LEG-000046,18/10/2023,26821,customer26821@retail.org,4182422535841438,UK,books,web,wire,9,N/A,4390.41 EUR,unknown,crm
LEG-000047,29-09-2022 20:00,15958,customer15958@example.com,5473647102767735,FR,sports,store,cash,10,474.30,GBP 4742.99,manual_review,crm
LEG-000048,23/09/2023,22689,customer22689@mail.net,5327877470168733,ES,fashion,partner,paypal,7,36.82,$257.77,unknown,batch_import
LEG-000049,,84747,customer84747@retail.org,5991216558523986,,groceries,store,cash,6,468.55,2811.28 GBP,unknown,erp
LEG-000050,2023/06/06 17:00:00,49221,customer49221@retail.org,5516940974993097,UK,fashion,mobile,wire,9,330.07,€2970.65,unknown,batch_import
LEG-000051,28/04/2023,63788,customer63788@legacy.local,5865278585497334,PT,sports,store,wire,10,251.16,2511.59 USD,unknown,pos
LEG-000052,2022/12/20 04:00:00,59767,customer59767@example.com,5473384842199330,IT,home,web,card,7,639.90,EUR 4479.32,ok,erp
LEG-000053,2022-10-22,72350,customer72350@example.com,,FR,groceries,partner,wire,4,597.47,€2389.86,pending,batch_import
LEG-000054,05/08/2023,11846,customer11846@retail.org,5161227530463745,UK,sports,store,wire,5,736.88,3684.41 USD,unknown,crm
LEG-000055,2022/05/17 15:00:00,58174,customer58174@retail.org,5833918785191088,IT,sports,partner,card,4,768.76,3075.05 USD,manual_review,crm
LEG-000056,2023-04-19,69873,customer69873@retail.org,4391065180170462,UK,groceries,partner,paypal,9,313.53,2821.74 USD,pending,pos
LEG-000057,2022/08/17 00:00:00,61518,customer61518@retail.org,5863375243106903,ES,fashion,web,wire,12,220.55,EUR 2646.57,pending,pos
LEG-000058,20/11/2023,85511,customer85511@legacy.local,5089268705685662,PT,fashion,mobile,wire,10,159.79,1597.92 USD,manual_review,batch_import
LEG-000059,2023/10/25 02:00:00,41831,customer41831@example.com,4046990139837354,ES,home,web,cash,6,213.12,GBP 1278.70,unknown,pos
LEG-000060,10-06-2023 15:00,57088,customer57088@mail.net,5560932048996423,DE,home,partner,paypal,6,257.59,£1545.57,manual_review,erp
LEG-000061,2022-07-08,28344,customer28344@example.com,4006231203875099,UK,electronics,partner,card,,450.37,GBP 3602.97,manual_review,erp
LEG-000062,2023/06/24 08:00:00,29516,,5793341016668700,ES,fashion,store,card,10,120.86,1208.64 EUR,manual_review,pos
LEG-000063,2023/11/05 01:00:00,46749,customer46749@example.com,,DE,electronics,store,cash,10,449.71,£4497.06,manual_review,erp
LEG-000064,,66603,customer66603@mail.net,,ES,fashion,partner,card,,93.28,€932.76,manual_review,crm
LEG-000065,06-09-2022 18:00,21101,customer21101@legacy.local,5472126464715437,PT,home,store,card,9,402.84,£3625.60,manual_review,pos
LEG-000066,04/11/2022,95332,customer95332@retail.org,5547935646519398,,groceries,partner,wire,3,1623.75,£4871.26,manual_review,erp
LEG-000067,22-01-2023 02:00,96332,customer96332@retail.org,5805891135290965,DE,electronics,store,wire,7,110.71,GBP 774.95,manual_review,pos
LEG-000068,2022/12/20 00:00:00,87147,customer87147@retail.org,,ES,electronics,web,paypal,3,1151.24,3453.73 EUR,pending,erp
LEG-000069,19-02-2023 20:00,65885,,4796603341918255,ES,fashion,store,cash,4,1198.13,$4792.52,pending,pos
LEG-000070,not_available,98094,customer98094@legacy.local,5929662782827422,DE,sports,web,cash,2,337.04,£674.07,manual_review,batch_import
LEG-000071,2022/02/01 07:00:00,74054,customer74054@legacy.local,4797881914858078,DE,groceries,mobile,paypal,10,,USD 840.43,manual_review,crm
LEG-000072,17/09/2023,87060,customer87060@legacy.local,4958498254494812,DE,sports,mobile,wire,12,287.27,3447.22 EUR,manual_review,batch_import
LEG-000073,2022-03-19,92288,customer92288@retail.org,5577590175186363,FR,sports,mobile,cash,8,259.26,,manual_review,crm
LEG-000074,2022/07/27 22:00:00,67840,customer67840@legacy.local,5154152064361103,PT,books,partner,card,,326.47,€2285.31,pending,batch_import
LEG-000075,03/11/2022,23425,,4927532697311219,FR,sports,mobile,wire,6,86.75,520.49 GBP,unknown,crm
LEG-000076,2023/06/06 06:00:00,49537,customer49537@example.com,4761379180552696,UK,fashion,web,card,10,,,ok,batch_import
LEG-000077,,75673,customer75673@legacy.local,5183285691463031,ES,books,web,paypal,7,548.10,3836.71 EUR,pending,crm
LEG-000078,2022/09/23 05:00:00,78551,customer78551@example.com,4564814917785079,PT,electronics,web,wire,12,,€2588.53,unknown,batch_import
LEG-000079,03/11/2023,14635,customer14635@retail.org,5419518023806174,FR,books,partner,card,12,230.55,USD 2766.56,manual_review,pos
LEG-000080,2023-02-30,35614,customer35614@example.com,,PT,books,partner,paypal,9,407.07,GBP 3663.65,manual_review,crm
LEG-000081,26-10-2022 08:00,96827,customer96827@mail.net,5313291212775618,PT,fashion,store,card,4,1205.32,4821.27 USD,ok,erp
LEG-000082,not_available,21955,customer21955@mail.net,4067883171210032,DE,groceries,web,paypal,6,592.87,3557.23 EUR,manual_review,erp
LEG-000083,21-02-2022 05:00,53456,customer53456@retail.org,5625324472099934,IT,electronics,store,cash,8,77.13,617.03 GBP,ok,batch_import
LEG-000084,2023/08/03 16:00:00,81371,,4040785932133480,PT,fashion,store,wire,6,651.38,3908.27 GBP,ok,pos
LEG-000085,2023-07-10,83807,,4087059325250029,PT,books,store,card,8,592.76,$4742.10,unknown,pos
LEG-000086,2023/10/27 10:00:00,67261,customer67261@legacy.local,4644220969029593,ES,home,store,card,-1,495.03,EUR 3960.25,unknown,batch_import
LEG-000087,02-01-2022 01:00,18885,customer18885@legacy.local,5658617932710405,ES,home,partner,wire,2,877.83,1755.65 EUR,manual_review,crm
LEG-000088,24/02/2022,89602,customer89602@retail.org,5443106987205061,UK,fashion,mobile,card,,1483.11,$4449.32,ok,pos
LEG-000089,12-07-2023 12:00,96643,customer96643@mail.net,4477434902115869,ES,books,partner,cash,11,120.79,1328.70 USD,ok,erp
LEG-000090,2023-02-30,32659,customer32659@example.com,5329451168685487,ES,books,partner,card,3,1581.85,GBP 4745.56,ok,crm
LEG-000091,28-01-2023 20:00,55071,customer55071@example.com,5299606530745054,DE,groceries,web,wire,5,878.02,$4390.08,unknown,batch_import
LEG-000092,2023-05-12,67896,,5289023303070534,DE,groceries,web,card,7,151.56,$1060.90,unknown,pos
LEG-000093,20/02/2022,21847,customer21847@legacy.local,4468007229034944,DE,fashion,store,wire,7,204.13,GBP 1428.92,ok,pos
LEG-000094,2023/05/09 02:00:00,47051,customer47051@mail.net,5432830965207446,,groceries,mobile,paypal,2,747.95,£1495.89,unknown,pos
LEG-000095,28/04/2023,83170,customer83170@mail.net,4534655494717099,ES,home,web,cash,2,454.88,EUR 909.77,unknown,batch_import
LEG-000096,04/07/2022,69974,customer69974@mail.net,4743292712966667,ES,groceries,store,card,12,60.03,720.40 GBP,ok,erp
LEG-000097,2023-05-31,50906,customer50906@example.com,5789856257532603,PT,electronics,mobile,card,7,92.72,649.01 EUR,unknown,crm
LEG-000098,2023-02-30,24170,customer24170@retail.org,5723046184992618,ES,electronics,partner,wire,1,3269.57,£3269.57,manual_review,pos
LEG-000099,2022-13-05,37222,customer37222@example.com,5218114374470120,FR,sports,partner,card,8,430.32,,pending,erp
LEG-000100,06/04/2022,91501,customer91501@example.com,5467621202169797,DE,books,web,wire,-1,112.10,USD 1345.21,unknown,pos
LEG-000101,2023/08/02 07:00:00,78788,customer78788@example.com,4756289002877217,FR,electronics,mobile,cash,10,383.88,3838.81 USD,manual_review,crm
LEG-000102,2023-02-30,25559,customer25559@example.com,4199488375503758,IT,groceries,store,cash,12,408.62,,unknown,pos
LEG-000103,20-05-2023 04:00,23935,customer23935@example.com,4316373516091779,PT,electronics,web,cash,3,77.89,GBP 233.66,pending,erp
LEG-000104,29/01/2023,89450,customer89450@mail.net,5472269848583339,UK,groceries,mobile,wire,9,490.45,$4414.07,manual_review,batch_import
LEG-000105,2023-02-30,79979,,4342442043805719,UK,home,partner,wire,7,204.74,1433.21 GBP,ok,batch_import
LEG-000106,25/02/2022,99803,customer99803@retail.org,5989334721228160,IT,home,store,card,9,174.08,,unknown,crm
LEG-000107,not_available,96755,customer96755@legacy.local,4826886153355543,IT,books,web,card,10,150.93,1509.27 GBP,pending,crm
LEG-000108,2022/10/17 00:00:00,24860,customer24860@retail.org,5358112880133613,UK,groceries,partner,card,9,214.72,USD 1932.45,ok,crm
LEG-000109,22-09-2022 13:00,83149,customer83149@retail.org,5180919015814491,DE,groceries,web,cash,4,89.22,356.86 GBP,unknown,erp
LEG-000110,2023-07-21,94926,customer94926@example.com,5881435368222394,PT,books,web,cash,1,1868.79,GBP 1868.79,pending,batch_import
LEG-000111,19/10/22,97988,customer97988@mail.net,5949299556205336,FR,groceries,store,cash,2,1639.55,USD 3279.09,pending,crm
LEG-000112,2022-09-27,28350,customer28350@example.com,4996930848872563,IT,sports,mobile,cash,4,1114.26,4457.03 USD,pending,erp
LEG-000113,07-11-2023 04:00,30869,,,IT,sports,store,wire,10,89.98,GBP 899.83,unknown,batch_import
LEG-000114,2023-05-14,63194,customer63194@legacy.local,4184322259136517,DE,home,partner,card,6,294.62,1767.73 GBP,ok,erp
LEG-000115,2023/09/06 18:00:00,33597,customer33597@example.com,5723692929842579,PT,home,web,card,7,369.37,GBP 2585.62,ok,erp
LEG-000116,31/05/23,15116,customer15116@example.com,5865086376599162,PT,electronics,store,cash,9,,4389.37 GBP,ok,crm
LEG-000117,2022/06/08 13:00:00,51405,customer51405@mail.net,5959463688725887,FR,groceries,partner,wire,2,1023.59,2047.18 GBP,pending,crm
LEG-000118,15/12/2023,54359,customer54359@retail.org,4127961143519066,IT,books,web,wire,-1,400.53,4005.26 EUR,unknown,erp
LEG-000119,23/06/22,77608,customer77608@example.com,4465669380118489,FR,home,partner,cash,10,349.38,3493.76 USD,ok,pos
LEG-000120,12-08-2023 08:00,77277,customer77277@retail.org,5779071416335658,UK,home,store,card,9,531.53,USD 4783.76,manual_review,pos
LEG-000121,01/12/2023,45268,customer45268@legacy.local,5333395211179080,FR,fashion,store,cash,12,76.50,GBP 918.01,pending,crm
LEG-000122,08-02-2023 21:00,80879,customer80879@example.com,5500369155942843,IT,home,partner,cash,6,27.94,$167.65,unknown,batch_import
LEG-000123,04-10-2022 07:00,85483,customer85483@legacy.local,4702672885744890,UK,home,store,cash,2,1715.82,£3431.63,unknown,pos
LEG-000124,23/07/2022,56018,customer56018@mail.net,5716947225699611,PT,groceries,store,paypal,10,433.75,$4337.51,manual_review,batch_import
LEG-000125,2022-09-15,26389,customer26389@legacy.local,4117800681149216,PT,fashion,mobile,wire,11,330.93,€3640.22,manual_review,batch_import
LEG-000126,16-12-2023 17:00,45705,customer45705@retail.org,5578317456424008,PT,fashion,web,cash,3,914.99,€2744.98,pending,crm
LEG-000127,17-06-2022 22:00,83472,customer83472@retail.org,4638944846312241,IT,groceries,partner,wire,4,547.09,,ok,pos
LEG-000128,16-01-2022 15:00,11075,customer11075@mail.net,5570512046187234,ES,groceries,mobile,cash,3,389.30,GBP 1167.89,manual_review,crm
LEG-000129,2022-11-27,71974,customer71974@example.com,,ES,groceries,partner,wire,5,389.73,1948.67 EUR,unknown,crm
LEG-000130,2023/05/15 07:00:00,80300,customer80300@retail.org,4652407784873928,UK,books,mobile,card,3,1319.46,$3958.37,ok,batch_import
LEG-000131,02-09-2022 10:00,91229,customer91229@legacy.local,5829456511810220,DE,electronics,partner,cash,-1,428.49,,pending,crm
LEG-000132,,95950,customer95950@retail.org,4948014138113863,UK,groceries,mobile,cash,2,1229.79,£2459.57,manual_review,crm
LEG-000133,11-06-2022 17:00,62632,customer62632@mail.net,5566593983684577,ES,sports,web,wire,11,229.63,USD 2525.94,unknown,crm
LEG-000134,24/07/2023,46170,,5224593344196931,DE,groceries,web,paypal,9,510.66,USD 4595.96,unknown,pos
LEG-000135,31-10-2023 19:00,25799,customer25799@example.com,4589258320679981,FR,home,mobile,paypal,4,1087.39,€4349.58,ok,batch_import
LEG-000136,27/07/2023,27088,customer27088@legacy.local,5659116655355904,FR,fashion,mobile,cash,8,476.42,EUR 3811.35,ok,crm
LEG-000137,2022-01-15,91396,customer91396@mail.net,4538338848792069,,home,web,paypal,5,926.80,,ok,crm
LEG-000138,20-01-2022 09:00,96520,customer96520@legacy.local,4579812387800384,DE,electronics,store,paypal,2,902.14,GBP 1804.29,unknown,batch_import
LEG-000139,19-08-2022 04:00,13862,customer13862@legacy.local,5893639264957823,IT,home,mobile,paypal,5,944.19,EUR 4720.96,pending,pos
LEG-000140,31-01-2022 10:00,25517,customer25517@retail.org,5231220994999393,ES,groceries,partner,wire,3,308.25,GBP 924.76,manual_review,batch_import
LEG-000141,04/10/2022,39658,,5975736609656999,UK,electronics,web,cash,1,165.99,€165.99,ok,batch_import
LEG-000142,2023/02/12 09:00:00,16461,customer16461@retail.org,5908277181298266,ES,books,mobile,cash,8,119.16,GBP 953.30,ok,crm
LEG-000143,29/01/2023,57571,customer57571@retail.org,4259222206447421,,sports,web,cash,12,35.93,€431.11,pending,erp
LEG-000144,2023/09/07 00:00:00,63759,,4050209945101622,IT,groceries,mobile,cash,10,221.22,€2212.17,unknown,pos
LEG-000145,not_available,66010,customer66010@mail.net,4390198179469548,IT,home,partner,cash,2,2108.66,£4217.33,pending,crm
LEG-000146,2023/09/23 13:00:00,25456,customer25456@mail.net,4034414488501556,IT,home,mobile,paypal,4,922.16,USD 3688.65,pending,batch_import
LEG-000147,,80381,customer80381@mail.net,5880395512405682,DE,electronics,store,paypal,8,560.02,EUR 4480.16,unknown,batch_import
LEG-000148,2023-01-19,78825,customer78825@retail.org,5823578452182307,IT,sports,web,card,2,757.54,1515.08 EUR,unknown,crm
LEG-000149,21-10-2022 08:00,37504,customer37504@example.com,4410988138585424,PT,books,store,cash,4,,,manual_review,crm
LEG-000150,2023/12/08 22:00:00,88134,customer88134@mail.net,4817921717477332,IT,sports,partner,wire,11,405.17,USD 4456.92,ok,batch_import
LEG-000151,2023-13-11,32387,customer32387@retail.org,4581487696393827,FR,groceries,partner,cash,6,235.81,1414.88 GBP,ok,batch_import
LEG-000152,2022-06-30,52647,customer52647@example.com,5570132902278469,PT,sports,store,paypal,8,347.21,£2777.66,ok,crm
LEG-000153,2023-01-14,26718,customer26718@mail.net,5036965666683272,DE,sports,partner,wire,1,4263.26,EUR 4263.26,ok,erp
LEG-000154,28-03-2022 04:00,67243,customer67243@retail.org,5927868765326909,UK,books,store,cash,3,1625.00,4875.00 EUR,manual_review,pos
LEG-000155,2023-06-24,20494,customer20494@example.com,4894905807787956,FR,electronics,store,paypal,12,59.56,714.73 EUR,unknown,crm
LEG-000156,2022/09/16 04:00:00,76269,,4929275243728051,IT,home,partner,cash,5,77.79,USD 388.93,pending,pos
LEG-000157,13/02/2023,25203,customer25203@retail.org,5742860476580185,DE,groceries,store,paypal,8,33.42,$267.35,manual_review,erp
LEG-000158,2023-12-08,35549,customer35549@example.com,4618175344300910,UK,home,web,card,11,236.56,2602.16 USD,pending,crm
LEG-000159,2023/10/17 14:00:00,71204,customer71204@retail.org,5421406650442717,PT,home,partner,card,2,1652.05,EUR 3304.09,manual_review,pos
LEG-000160,2022-01-20,84887,customer84887@example.com,5256908776618306,DE,books,store,paypal,8,454.89,3639.09 GBP,ok,pos
LEG-000161,2023-10-26,20545,customer20545@retail.org,,IT,fashion,partner,card,5,841.34,,ok,erp
LEG-000162,2022-06-02,70079,customer70079@example.com,,ES,books,mobile,card,9,522.31,£4700.75,ok,erp
LEG-000163,not_available,37948,customer37948@legacy.local,,PT,groceries,store,cash,10,382.23,USD 3822.32,pending,pos
LEG-000164,2023-09-03,32878,customer32878@mail.net,4833181958837340,PT,fashion,partner,wire,1,3054.64,€3054.64,pending,batch_import
LEG-000165,2022-02-23,69394,customer69394@retail.org,4379956353153136,DE,electronics,partner,cash,12,18.45,€221.37,pending,batch_import
LEG-000166,,35448,customer35448@example.com,4776253492929831,IT,home,partner,cash,5,632.39,GBP 3161.95,unknown,batch_import
LEG-000167,2022-01-06,87564,customer87564@retail.org,4686717731806325,UK,electronics,partner,paypal,10,473.15,GBP 4731.53,manual_review,batch_import
LEG-000168,2023-10-04,63131,customer63131@example.com,5804649893195085,ES,fashion,web,paypal,6,154.80,928.80 GBP,pending,erp
LEG-000169,18/08/2023,24884,customer24884@mail.net,5864015577881788,DE,groceries,web,wire,12,270.58,EUR 3246.95,unknown,crm
LEG-000170,2023-02-30,29392,customer29392@legacy.local,5704310385695579,IT,fashion,partner,paypal,4,621.04,$2484.16,pending,batch_import
LEG-000171,12/04/2023,16202,customer16202@mail.net,4223105927452380,FR,fashion,mobile,paypal,-1,,$745.95,unknown,erp
LEG-000172,30/10/2022,76507,customer76507@retail.org,4702814069375150,PT,home,store,wire,,138.31,USD 1659.75,manual_review,erp
LEG-000173,05-01-2023 12:00,77050,customer77050@mail.net,4455478137674266,IT,home,mobile,paypal,-1,428.84,4717.29 USD,manual_review,crm
LEG-000174,19/04/2023,45825,customer45825@legacy.local,5487049478730024,UK,fashion,web,paypal,9,230.61,GBP 2075.50,ok,pos
LEG-000175,2023/05/08 18:00:00,88497,customer88497@retail.org,4589042902572520,DE,sports,web,paypal,10,372.91,3729.10 EUR,pending,crm
LEG-000176,2022/11/05 08:00:00,52284,customer52284@example.com,5202845765213283,IT,books,web,cash,11,396.62,€4362.85,unknown,pos
LEG-000177,2023/06/20 10:00:00,67925,customer67925@example.com,,,groceries,web,cash,10,444.92,EUR 4449.18,ok,crm
LEG-000178,2022/01/30 02:00:00,36217,customer36217@mail.net,4891190833428013,UK,groceries,mobile,cash,6,154.66,$927.99,pending,erp
LEG-000179,2023/06/17 04:00:00,51193,customer51193@mail.net,4157164794738646,ES,fashion,store,wire,,311.23,£622.46,ok,crm
LEG-000180,22/06/2022,87405,customer87405@mail.net,5136749946579678,DE,sports,partner,cash,12,407.33,EUR 4887.97,ok,batch_import
LEG-000181,2022-06-06,60152,customer60152@example.com,5734778485880061,FR,fashion,partner,card,6,504.15,USD 3024.90,manual_review,batch_import
LEG-000182,23-11-2023 15:00,73891,customer73891@retail.org,4806479695450090,FR,groceries,web,paypal,10,382.12,USD 3821.24,pending,erp
LEG-000183,2022-11-09,21133,,5986407905696591,ES,home,store,cash,2,2276.20,$4552.39,unknown,batch_import
LEG-000184,2022/08/08 09:00:00,19872,customer19872@retail.org,4919541987635148,DE,sports,mobile,cash,9,466.97,4202.70 USD,pending,crm
LEG-000185,2023/11/08 23:00:00,34450,customer34450@retail.org,4835723246651364,UK,groceries,mobile,cash,4,721.58,€2886.33,manual_review,batch_import
LEG-000186,not_available,94793,customer94793@mail.net,,UK,electronics,store,cash,4,1132.19,€4528.75,unknown,batch_import
LEG-000187,29-06-2022 06:00,65426,customer65426@retail.org,,,groceries,web,wire,2,546.98,£1093.95,ok,erp
LEG-000188,05/11/2022,61508,customer61508@mail.net,,DE,books,store,cash,-1,927.58,4637.90 GBP,manual_review,erp
LEG-000189,24/04/2022,50048,customer50048@retail.org,5772429543165266,IT,electronics,mobile,card,2,786.02,GBP 1572.04,manual_review,batch_import
LEG-000190,01-05-2022 00:00,58224,customer58224@retail.org,5133344762639343,DE,electronics,store,paypal,-1,85.48,854.76 EUR,manual_review,crm
LEG-000191,05-12-2023 06:00,52368,,4053759900489646,PT,books,web,wire,7,696.02,USD 4872.12,ok,pos
LEG-000192,2022/05/11 15:00:00,44131,customer44131@mail.net,,,sports,mobile,cash,1,588.63,,unknown,batch_import
LEG-000193,28/07/2022,29405,customer29405@mail.net,4908926137150416,ES,home,web,card,2,311.32,$622.65,ok,pos
LEG-000194,2023-08-06,69388,customer69388@mail.net,4189616423610326,FR,groceries,mobile,card,12,135.66,£1627.95,pending,pos
LEG-000195,02-02-2023 15:00,77194,customer77194@example.com,5926610857327881,DE,fashion,store,wire,8,125.42,1003.36 USD,manual_review,pos
LEG-000196,,15910,customer15910@mail.net,4801722601645977,FR,home,mobile,wire,-1,285.50,USD 2569.51,manual_review,crm
LEG-000197,10-12-2023 12:00,32509,customer32509@mail.net,5641220310303723,UK,books,mobile,card,8,410.09,USD 3280.73,pending,erp
LEG-000198,23-08-2023 07:00,73576,customer73576@example.com,4667998407678997,ES,fashion,store,card,8,N/A,2360.09 USD,unknown,batch_import
LEG-000199,19/12/2022,47750,customer47750@mail.net,5246657293417223,DE,fashion,partner,paypal,8,454.05,€3632.41,unknown,erp
LEG-000200,12/12/22,75991,customer75991@example.com,5455084289107711,IT,electronics,web,card,2,82.34,EUR 164.69,unknown,batch_import
LEG-000201,09/12/22,23014,customer23014@retail.org,4375482145653286,PT,fashion,partner,cash,6,129.28,GBP 775.71,manual_review,erp
LEG-000202,13/12/2022,77809,,4290846684550489,UK,groceries,mobile,cash,-1,2359.25,GBP 4718.50,unknown,crm
LEG-000203,,26515,customer26515@mail.net,4008943468105485,UK,fashion,store,card,9,289.42,2604.75 GBP,pending,pos
LEG-000204,2023-01-22,85073,customer85073@mail.net,4571266110627371,IT,books,partner,paypal,12,280.32,$3363.81,manual_review,erp
LEG-000205,10/06/23,69993,customer69993@retail.org,4851961159408215,FR,fashion,web,wire,12,54.27,€651.28,unknown,erp
LEG-000206,2022/03/11 01:00:00,10273,customer10273@retail.org,5792287772519966,DE,electronics,partner,paypal,6,102.67,,unknown,crm
LEG-000207,07-08-2023 16:00,91094,customer91094@example.com,4043397189569070,PT,books,store,cash,1,2711.46,€2711.46,pending,erp
